#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
YS|PL51|23.684299|-151.695694|-5485.0|WHOI OBS ID S31|2006-04-25T00:00:00|2007-05-22T23:59:59
YS|PL55|18.3018|-152.981201|-5076.0|WHOI OBS ID S34|2006-04-28T00:00:00|2007-05-25T23:59:59
YS|PL57|18.9142|-150.914993|-5335.0|WHOI OBS ID S25|2006-04-29T00:00:00|2007-12-13T23:59:59
YS|PL59|16.989|-149.0009|-5374.0|WHOI OBS ID S11|2006-04-26T00:00:00|2007-12-14T23:59:59
YS|PL61|16.737801|-151.637604|-5186.0|WHOI OBS ID S28|2006-05-02T00:00:00|2007-05-26T23:59:59
YS|PL62|14.6891|-151.6866|-5765.0|WHOI OBS ID S20|2006-05-02T00:00:00|2007-05-30T23:59:59
YS|PL63|14.7313|-153.967499|-5603.0|Love|2006-05-04T00:00:00|2007-05-28T23:59:59
YS|PL65|17.315399|-153.868195|-5115.0|WHOI OBS ID S19|2006-05-04T00:00:00|2007-05-25T23:59:59
YS|PL66|17.614901|-156.387695|-4826.0|WHOI OBS ID S46|2006-05-05T00:00:00|2007-05-31T23:59:59
YS|PL67|16.162001|-156.206604|-5112.0|Yogi|2006-05-08T00:00:00|2007-05-29T23:59:59
YS|PL68|14.6596|-157.8591|-5637.0|WHOI OBS ID S13|2006-05-08T00:00:00|2007-06-01T23:59:59
YS|PL69|16.3484|-157.700806|-5365.0|WHOI OBS ID S39|2006-05-05T00:00:00|2007-06-01T23:59:59
YS|PL70|15.574|-158.982498|-5591.0|Loco|2006-05-09T00:00:00|2007-05-31T23:59:59
YS|PL71|17.746901|-161.367599|-5601.0|WHOI OBS ID S30|2006-04-13T00:00:00|2007-06-03T23:59:59
YS|PL73|18.564699|-158.760193|-4686.0|Chappell|2006-05-10T00:00:00|2007-06-02T23:59:59
YS|PL74|20.3778|-158.179504|-4541.0|WHOI OBS ID S08|2006-05-09T00:00:00|2007-06-05T23:59:59
Z6|01|27.766001|149.092804|-5982.0|01|2009-10-19T00:00:00|2010-11-01T23:59:59
Z6|03|27.441799|150.326599|-5983.0|03|2009-10-20T00:00:00|2010-11-01T23:59:59
Z6|04|28.049101|149.707993|-6249.0|04|2009-10-21T00:00:00|2010-11-01T23:59:59
Z6|06|28.2738|150.554199|-5964.0|06|2009-10-22T00:00:00|2010-10-31T23:59:59
Z6|07|28.723801|150.995407|-5898.0|07|2009-10-22T00:00:00|2010-10-31T23:59:59
Z6|10|28.929701|154.490906|-6002.0|10|2009-10-23T00:00:00|2010-10-29T23:59:59
Z6|11|29.7521|154.237198|-5836.0|11|2009-10-24T00:00:00|2010-10-29T23:59:59
Z6|13|29.351299|155.244003|-5750.0|13|2009-10-26T00:00:00|2010-10-28T23:59:59
Z6|15|28.492201|155.239197|-6156.0|15|2009-10-27T00:00:00|2010-10-27T23:59:59
